		Cohort 1	Cohort 2	Cohort 3	Cohort 4	Cohort 5	Cohort 6	Cohort 7	Cohort 8	Cohort 9	Cohort 10			Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	Fishers Exact Test	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	FDR Correction	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Absolute Counts	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Per 1000 Patients	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Relative Risk	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	Safety Signal	
		Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship	Known drug-Drugs relationship			pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	pValue	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	Benjamini and Hochberg - BH	glomerulonephritis and nephrotic syndrome	nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder	renal tubular necrosis	renal tubular acidosis	renal tubular atrophy	renal tubular dysfunction	renal tubular injury	glomerulonephritis and nephrotic syndrome	nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder	renal tubular necrosis	renal tubular acidosis	renal tubular atrophy	renal tubular dysfunction	renal tubular injury	glomerulonephritis and nephrotic syndrome	nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder	renal tubular necrosis	renal tubular acidosis	renal tubular atrophy	renal tubular dysfunction	renal tubular injury	glomerulonephritis and nephrotic syndrome	nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder	renal tubular necrosis	renal tubular acidosis	renal tubular atrophy	renal tubular dysfunction	renal tubular injury	glomerulonephritis and nephrotic syndrome	nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder	renal tubular necrosis	renal tubular acidosis	renal tubular atrophy	renal tubular dysfunction	renal tubular injury	
														glomerulonephritis and nephrotic syndrome	nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder	renal tubular necrosis	renal tubular acidosis	renal tubular atrophy	renal tubular dysfunction	renal tubular injury	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	cut-off p = 5.0000E-02	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	
														aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	glomerulonephritis and nephrotic syndrome	nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder	renal tubular necrosis	renal tubular acidosis	renal tubular atrophy	renal tubular dysfunction	renal tubular injury																																																			
																								aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated	aggregated																																																			
Rank	Known Drug Reactions	glomerulonephritis and nephrotic syndrome	nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder	renal tubular necrosis	renal tubular acidosis	renal tubular atrophy	renal tubular dysfunction	renal tubular injury	Drugs	Total_Drugs_Reports	Fishers Exact Test_pValue_glomerulonephritis and nephrotic syndrome_aggregated	Fishers Exact Test_pValue_nephropathies_aggregated	Fishers Exact Test_pValue_hypertension_aggregated	Fishers Exact Test_pValue_renal disorders (excl nephropathies)_aggregated	Fishers Exact Test_pValue_renal tubular disorder_aggregated	Fishers Exact Test_pValue_renal tubular necrosis_aggregated	Fishers Exact Test_pValue_renal tubular acidosis_aggregated	Fishers Exact Test_pValue_renal tubular atrophy_aggregated	Fishers Exact Test_pValue_renal tubular dysfunction_aggregated	Fishers Exact Test_pValue_renal tubular injury_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_glomerulonephritis and nephrotic syndrome_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_nephropathies_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_hypertension_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_renal disorders (excl nephropathies)_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_renal tubular disorder_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_renal tubular necrosis_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_renal tubular acidosis_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_renal tubular atrophy_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_renal tubular dysfunction_aggregated	FDR Correction_Benjamini and Hochberg - BH_cut-off p = 5.0000E-02_renal tubular injury_aggregated	Absolute Counts_glomerulonephritis and nephrotic syndrome_aggregated	Absolute Counts_nephropathies_aggregated	Absolute Counts_hypertension_aggregated	Absolute Counts_renal disorders (excl nephropathies)_aggregated	Absolute Counts_renal tubular disorder_aggregated	Absolute Counts_renal tubular necrosis_aggregated	Absolute Counts_renal tubular acidosis_aggregated	Absolute Counts_renal tubular atrophy_aggregated	Absolute Counts_renal tubular dysfunction_aggregated	Absolute Counts_renal tubular injury_aggregated	Per 1000 Patients_glomerulonephritis and nephrotic syndrome_aggregated	Per 1000 Patients_nephropathies_aggregated	Per 1000 Patients_hypertension_aggregated	Per 1000 Patients_renal disorders (excl nephropathies)_aggregated	Per 1000 Patients_renal tubular disorder_aggregated	Per 1000 Patients_renal tubular necrosis_aggregated	Per 1000 Patients_renal tubular acidosis_aggregated	Per 1000 Patients_renal tubular atrophy_aggregated	Per 1000 Patients_renal tubular dysfunction_aggregated	Per 1000 Patients_renal tubular injury_aggregated	Relative Risk_glomerulonephritis and nephrotic syndrome_aggregated	Relative Risk_nephropathies_aggregated	Relative Risk_hypertension_aggregated	Relative Risk_renal disorders (excl nephropathies)_aggregated	Relative Risk_renal tubular disorder_aggregated	Relative Risk_renal tubular necrosis_aggregated	Relative Risk_renal tubular acidosis_aggregated	Relative Risk_renal tubular atrophy_aggregated	Relative Risk_renal tubular dysfunction_aggregated	Relative Risk_renal tubular injury_aggregated	Safety Signal_glomerulonephritis and nephrotic syndrome_aggregated	Safety Signal_nephropathies_aggregated	Safety Signal_hypertension_aggregated	Safety Signal_renal disorders (excl nephropathies)_aggregated	Safety Signal_renal tubular disorder_aggregated	Safety Signal_renal tubular necrosis_aggregated	Safety Signal_renal tubular acidosis_aggregated	Safety Signal_renal tubular atrophy_aggregated	Safety Signal_renal tubular dysfunction_aggregated	Safety Signal_renal tubular injury_aggregated	_glomerulonephritis and nephrotic syndrome_aggregated	_nephropathies_aggregated	_hypertension_aggregated	_renal disorders (excl nephropathies)_aggregated	_renal tubular disorder_aggregated	_renal tubular necrosis_aggregated	_renal tubular acidosis_aggregated	_renal tubular atrophy_aggregated	_renal tubular dysfunction_aggregated	_renal tubular injury_aggregated	
												Unique Patients		10,998	38,619	137,075	390,428	8,311	5,992	1,793	509	96	47	10,998	38,619	137,075	390,428	8,311	5,992	1,793	509	96	47	10,998	38,619	137,075	390,428	8,311	5,992	1,793	509	96	47	10,998	38,619	137,075	390,428	8,311	5,992	1,793	509	96	47	10,998	38,619	137,075	390,428	8,311	5,992	1,793	509	96	47	10,998	38,619	137,075	390,428	8,311	5,992	1,793	509	96	47	10,998	38,619	137,075	390,428	8,311	5,992	1,793	509	96	47	
1	5		nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder, renal tubular necrosis	renal tubular necrosis					ciclosporin	74,729	0.00000E00	0.00000E00	1.59649E-173	0.00000E00	3.98209E-313	2.35459E-243	6.54057E-102	4.76191E-141	1.46350E-01	2.81824E-01	0.00000E00	0.00000E00	3.50788E-172	0.00000E00	5.94526E-311	4.00868E-241	8.93878E-100	7.46033E-139	2.63430E-01	3.60270E-01	952	2,421	1,942	10,855	531	400	146	120	2	1	86.561	62.689	14.167	27.803	63.891	66.756	81.428	235.756	20.833	21.277	12.479	9.197	2.046	4.465	9.161	9.557	11.622	33.642	2.968	3.031	3.624	3.159	1.013	1.986	3.186	3.250	3.536	5.070	1.570	1.600											
2	5		nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder, renal tubular necrosis	renal tubular necrosis					tacrolimus	73,222	0.00000E00	0.00000E00	5.00134E-80	0.00000E00	0.00000E00	1.20000E-322	1.07933E-286	6.92967E-249	8.38668E-11	8.70001E-18	0.00000E00	0.00000E00	5.73120E-79	0.00000E00	0.00000E00	5.38330E-320	4.42525E-284	1.62847E-246	9.43502E-10	1.07880E-15	879	2,536	1,573	13,758	636	472	288	180	11	13	79.924	65.667	11.475	35.238	76.525	78.772	160.625	353.635	114.583	276.596	11.751	9.855	1.683	6.078	11.216	11.522	23.445	51.546	16.664	40.227	3.539	3.255	0.739	2.357	3.476	3.518	4.546	5.684	4.058	5.330											
3	5		nephropathies	hypertension	renal disorders (excl nephropathies)	renal tubular disorder, renal tubular necrosis	renal tubular necrosis					mycophenolic acid	69,562	0.00000E00	0.00000E00	2.39200E-51	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	1.68496E-08	5.88348E-13	0.00000E00	0.00000E00	2.01012E-50	0.00000E00	0.00000E00	0.00000E00	0.00000E00	0.00000E00	1.62478E-07	3.64776E-11	1,116	2,922	1,377	13,438	748	577	310	218	9	10	101.473	75.662	10.046	34.419	90.001	96.295	172.895	428.291	93.750	212.766	15.768	12.045	1.548	6.290	13.914	14.854	26.577	65.757	14.351	32.571	3.957	3.534	0.621	2.397	3.784	3.882	4.726	6.035	3.843	5.025											
4	2			hypertension	renal disorders (excl nephropathies)							methylprednisolone	82,770	0.00000E00	0.00000E00	0.00000E00	0.00000E00	2.39048E-187	1.12713E-131	6.82912E-65	1.34869E-66	3.93667E-02	4.98867E-04	0.00000E00	0.00000E00	0.00000E00	0.00000E00	1.55173E-185	6.67455E-130	3.73325E-63	1.05648E-64	1.04206E-01	3.43664E-03	688	1,609	2,559	8,721	413	293	115	73	3	4	62.557	41.663	18.669	22.337	49.693	48.899	64.138	143.418	31.250	85.106	8.106	5.446	2.446	3.094	6.419	6.309	8.261	18.464	4.020	10.948	3.008	2.422	1.264	1.523	2.676	2.653	3.044	4.205	2.007	3.453											
